epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,307.565,2.41429,3.00961,3.14645,0.51767,0.4624,0.46693,0.20959,1.81843,2.03388,2.45643,0.000665936,0.000665936,0.000665936
2,588.8,1.672,1.93299,2.21613,0.66057,0.6332,0.69423,0.39611,1.4284,1.5178,2.01368,0.00127983,0.00127983,0.00127983
3,869.064,1.49497,1.61698,2.02581,0.75801,0.74561,0.8023,0.47277,1.37209,1.26884,1.87871,0.00184093,0.00184093,0.00184093
4,1144.11,1.38187,1.42018,1.90379,0.86619,0.79058,0.88559,0.5845,1.16947,0.95155,1.70236,0.0017624,0.0017624,0.0017624
5,1415.51,1.28287,1.26963,1.80514,0.85014,0.86015,0.90773,0.60602,1.14547,0.87649,1.65237,0.0016832,0.0016832,0.0016832
6,1687.33,1.22434,1.17655,1.74947,0.88219,0.86086,0.92567,0.64398,1.04585,0.77567,1.56956,0.001604,0.001604,0.001604
7,1961.51,1.17701,1.10222,1.70489,0.89875,0.84751,0.93175,0.66691,0.99917,0.75265,1.48899,0.0015248,0.0015248,0.0015248
8,2234.9,1.1367,1.0405,1.65325,0.93149,0.88897,0.95652,0.69602,0.97725,0.66007,1.47379,0.0014456,0.0014456,0.0014456
9,2507.56,1.1075,0.99175,1.62708,0.90694,0.89248,0.94692,0.68821,0.93934,0.67584,1.44481,0.0013664,0.0013664,0.0013664
10,2786.22,1.07338,0.96571,1.59534,0.91364,0.91216,0.95694,0.70422,0.92209,0.627,1.39573,0.0012872,0.0012872,0.0012872
11,3070.73,1.05185,0.92324,1.56932,0.9275,0.92832,0.96804,0.72876,0.88478,0.58417,1.37793,0.001208,0.001208,0.001208
12,3345.44,1.0203,0.89093,1.53728,0.92211,0.9235,0.96683,0.73745,0.84324,0.56342,1.33726,0.0011288,0.0011288,0.0011288
13,3611.44,0.9967,0.85313,1.51643,0.9411,0.92076,0.96508,0.74358,0.83847,0.54641,1.32417,0.0010496,0.0010496,0.0010496
14,3886.05,0.98001,0.83574,1.49683,0.93439,0.93081,0.97012,0.75549,0.80728,0.53558,1.29069,0.0009704,0.0009704,0.0009704
15,4148.34,0.95334,0.79753,1.47578,0.95067,0.93456,0.9746,0.76787,0.78345,0.51026,1.26826,0.0008912,0.0008912,0.0008912
16,4409.04,0.8475,0.57922,1.38855,0.94856,0.93304,0.97563,0.77705,0.77445,0.48601,1.25409,0.000812,0.000812,0.000812
17,4676.71,0.81147,0.54689,1.36303,0.95696,0.93759,0.97901,0.78319,0.75326,0.47802,1.23427,0.0007328,0.0007328,0.0007328
18,4938.19,0.78492,0.52354,1.33683,0.95538,0.94097,0.9769,0.7925,0.73252,0.46423,1.22263,0.0006536,0.0006536,0.0006536
19,5194.56,0.76587,0.50191,1.31393,0.94015,0.93826,0.97487,0.78891,0.73266,0.46862,1.22407,0.0005744,0.0005744,0.0005744
20,5449.93,0.74213,0.48166,1.29502,0.94986,0.948,0.98069,0.80023,0.71432,0.44244,1.20014,0.0004952,0.0004952,0.0004952
21,5705.37,0.72321,0.46101,1.27685,0.94955,0.95236,0.98125,0.80803,0.70219,0.43331,1.18494,0.000416,0.000416,0.000416
22,5959.15,0.71038,0.44242,1.26332,0.9633,0.94079,0.98048,0.80537,0.70051,0.42867,1.18338,0.0003368,0.0003368,0.0003368
23,6217.34,0.69699,0.43388,1.24917,0.95589,0.948,0.98167,0.81107,0.69727,0.41733,1.18096,0.0002576,0.0002576,0.0002576
24,6472.05,0.67687,0.41788,1.2312,0.9529,0.95257,0.98305,0.81274,0.69578,0.41422,1.18017,0.0001784,0.0001784,0.0001784
25,6725.92,0.66337,0.4118,1.2219,0.96279,0.9494,0.98386,0.81679,0.68398,0.41365,1.17174,9.92e-05,9.92e-05,9.92e-05
